@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE LPbasedFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE NonContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE allVariablesFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ProbingFeatures {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
mip9970, 1, ok, ok, ok, ok, ok, ok
mip1653, 1, ok, ok, ok, ok, ok, ok
mip274, 1, ok, ok, ok, ok, ok, ok
mip4059, 1, ok, ok, ok, ok, ok, ok
mip5448, 1, ok, ok, ok, ok, ok, ok
mip3351, 1, ok, ok, ok, ok, ok, ok
mip5646, 1, ok, ok, ok, ok, ok, ok
mip3242, 1, ok, ok, ok, ok, ok, ok
mip8536, 1, ok, ok, ok, ok, ok, ok
mip6074, 1, ok, ok, ok, ok, ok, ok
mip8535, 1, ok, ok, ok, ok, ok, ok
mip3893, 1, ok, ok, ok, ok, ok, ok
mip7812, 1, ok, ok, ok, ok, ok, ok
mip1069, 1, ok, ok, ok, ok, ok, ok
mip936, 1, ok, ok, ok, ok, ok, ok
mip5018, 1, ok, ok, ok, ok, ok, ok
mip515, 1, ok, ok, ok, ok, ok, ok
mip4837, 1, ok, ok, ok, ok, ok, ok
mip4679, 1, ok, ok, ok, ok, ok, ok
mip7103, 1, ok, ok, ok, ok, ok, ok
mip4874, 1, ok, ok, ok, ok, ok, ok
mip5902, 1, ok, ok, ok, ok, ok, ok
mip2148, 1, ok, ok, ok, ok, ok, ok
mip1355, 1, ok, ok, ok, ok, ok, ok
mip2853, 1, ok, ok, ok, ok, ok, ok
mip6812, 1, ok, ok, ok, ok, ok, ok
mip892, 1, ok, ok, ok, ok, ok, ok
mip2135, 1, ok, ok, ok, ok, ok, ok
mip5450, 1, ok, ok, ok, ok, ok, ok
mip8311, 1, ok, ok, ok, ok, ok, ok
mip2816, 1, ok, ok, ok, ok, ok, ok
mip2243, 1, ok, ok, ok, ok, ok, ok
mip6530, 1, ok, ok, ok, ok, ok, ok
mip9776, 1, ok, ok, ok, ok, ok, ok
mip7188, 1, ok, ok, ok, ok, ok, ok
mip1330, 1, ok, ok, ok, ok, ok, ok
mip9850, 1, ok, ok, ok, ok, ok, ok
mip5314, 1, ok, ok, ok, ok, ok, ok
mip1314, 1, ok, ok, ok, ok, ok, ok
mip2589, 1, ok, ok, ok, ok, ok, ok
mip5620, 1, ok, ok, ok, ok, ok, ok
mip8413, 1, ok, ok, ok, ok, ok, ok
mip9085, 1, ok, ok, ok, ok, ok, ok
mip3104, 1, ok, ok, ok, ok, ok, ok
mip9466, 1, ok, ok, ok, ok, ok, ok
mip402, 1, ok, ok, ok, ok, ok, ok
mip799, 1, ok, ok, ok, ok, ok, ok
mip9966, 1, ok, ok, ok, ok, ok, ok
mip8982, 1, ok, ok, ok, ok, ok, ok
mip9616, 1, ok, ok, ok, ok, ok, ok
mip667, 1, ok, ok, ok, ok, ok, ok
mip2374, 1, ok, ok, ok, ok, ok, ok
mip9760, 1, ok, ok, ok, ok, ok, ok
mip3956, 1, ok, ok, ok, ok, ok, ok
mip2319, 1, ok, ok, ok, ok, ok, ok
mip2072, 1, ok, ok, ok, ok, ok, ok
mip3234, 1, ok, ok, ok, ok, ok, ok
mip596, 1, ok, ok, ok, ok, ok, ok
mip6822, 1, ok, ok, ok, ok, ok, ok
mip5344, 1, ok, ok, ok, ok, ok, ok
mip1345, 1, ok, ok, ok, ok, ok, ok
mip8632, 1, ok, ok, ok, ok, ok, ok
mip2247, 1, ok, ok, ok, ok, ok, ok
mip9572, 1, ok, ok, ok, ok, ok, ok
mip2215, 1, ok, ok, ok, ok, ok, ok
mip6000, 1, ok, ok, ok, ok, ok, ok
mip6058, 1, ok, ok, ok, ok, ok, ok
mip7191, 1, ok, ok, ok, ok, ok, ok
mip7456, 1, ok, ok, ok, ok, ok, ok
mip6303, 1, ok, ok, ok, ok, ok, ok
mip2363, 1, ok, ok, ok, ok, ok, ok
mip3453, 1, ok, ok, ok, ok, ok, ok
mip8098, 1, ok, ok, ok, ok, ok, ok
mip1763, 1, ok, ok, ok, ok, ok, ok
mip7462, 1, ok, ok, ok, ok, ok, ok
mip9331, 1, ok, ok, ok, ok, ok, ok
mip2907, 1, ok, ok, ok, ok, ok, ok
mip7170, 1, ok, ok, ok, ok, ok, ok
mip8355, 1, ok, ok, ok, ok, ok, ok
mip8597, 1, ok, ok, ok, ok, ok, ok
mip3420, 1, ok, ok, ok, ok, ok, ok
mip7279, 1, ok, ok, ok, ok, ok, ok
mip9284, 1, ok, ok, ok, ok, ok, ok
mip4264, 1, ok, ok, ok, ok, ok, ok
mip4184, 1, ok, ok, ok, ok, ok, ok
mip9008, 1, ok, ok, ok, ok, ok, ok
mip2534, 1, ok, ok, ok, ok, ok, ok
mip5805, 1, ok, ok, ok, ok, ok, ok
mip2303, 1, ok, ok, ok, ok, ok, ok
mip5979, 1, ok, ok, ok, ok, ok, ok
mip1780, 1, ok, ok, ok, ok, ok, ok
mip7237, 1, ok, ok, ok, ok, ok, ok
mip9143, 1, ok, ok, ok, ok, ok, ok
mip503, 1, ok, ok, ok, ok, ok, ok
mip8094, 1, ok, ok, ok, ok, ok, ok
mip9169, 1, ok, ok, ok, ok, ok, ok
mip9951, 1, ok, ok, ok, ok, ok, ok
mip294, 1, ok, ok, ok, ok, ok, ok
