@RELATION ALGORITHM_RUNS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mip538, 1, Config1, 123.083251953125, ok
mip538, 1, Config2, 136.600917100906, ok
mip538, 1, Config3, 136.553507089614, ok
mip5245, 1, ConfigDefault, 9600.0, timeout
mip5245, 1, Config1, 756.169971942901, ok
mip5245, 1, Config2, 1308.21359610557, ok
mip5245, 1, Config3, 1206.67505097389, ok
mip2558, 1, ConfigDefault, 56.0369839668273, ok
mip2558, 1, Config1, 50.071149110794, ok
mip2558, 1, Config2, 56.1982479095459, ok
mip2558, 1, Config3, 75.0574400424957, ok
mip2701, 1, ConfigDefault, 9600.0, timeout
mip2701, 1, Config1, 941.235641956329, ok
mip2701, 1, Config2, 3340.34296894073, ok
mip2701, 1, Config3, 1621.50581502914, ok
mip7428, 1, ConfigDefault, 6339.24544715881, ok
mip7428, 1, Config1, 438.415974855423, ok
mip7428, 1, Config2, 705.148649215698, ok
mip7428, 1, Config3, 924.458648204803, ok
mip1907, 1, ConfigDefault, 9600.0, timeout
mip1907, 1, Config1, 6261.80150103569, ok
mip1907, 1, Config2, 9600.0, timeout
mip1907, 1, Config3, 9600.0, timeout
mip3196, 1, ConfigDefault, 58.6804401874542, ok
mip3196, 1, Config1, 52.542032957077, ok
mip3196, 1, Config2, 68.1942670345306, ok
mip3196, 1, Config3, 54.3949429988861, ok
mip2315, 1, ConfigDefault, 3585.64052200317, ok
mip2315, 1, Config1, 251.103682041168, ok
mip2315, 1, Config2, 295.779937982559, ok
mip2315, 1, Config3, 289.334331035614, ok
mip9688, 1, ConfigDefault, 2904.31962013244, ok
mip9688, 1, Config1, 475.026669979095, ok
mip9688, 1, Config2, 1026.51805806159, ok
mip9688, 1, Config3, 750.011212825775, ok
mip2165, 1, ConfigDefault, 2726.02021217346, ok
mip2165, 1, Config1, 463.791843891143, ok
mip2165, 1, Config2, 704.355041027069, ok
mip2165, 1, Config3, 580.700059175491, ok
mip5253, 1, ConfigDefault, 9600.0, timeout
mip5253, 1, Config1, 695.42791390419, ok
mip5253, 1, Config2, 878.668548107147, ok
mip5253, 1, Config3, 807.148437976837, ok
mip1581, 1, ConfigDefault, 5114.13802194595, ok
mip1581, 1, Config1, 283.760732173919, ok
mip1581, 1, Config2, 489.749023914337, ok
mip1581, 1, Config3, 576.169072151184, ok
mip7965, 1, ConfigDefault, 9600.0, timeout
mip7965, 1, Config1, 1319.90386414527, ok
mip7965, 1, Config2, 2100.31160712242, ok
mip7965, 1, Config3, 1484.86250591278, ok
mip1188, 1, ConfigDefault, 9600.0, timeout
mip1188, 1, Config1, 1210.75279092788, ok
mip1188, 1, Config2, 1767.48812007904, ok
mip1188, 1, Config3, 1495.79739999771, ok
mip5092, 1, ConfigDefault, 9600.0, timeout
mip5092, 1, Config1, 458.019798994064, ok
mip5092, 1, Config2, 1139.10545492172, ok
mip5092, 1, Config3, 1116.80045509338, ok
mip8177, 1, ConfigDefault, 94.7792780399322, ok
mip8177, 1, Config1, 63.0882620811462, ok
mip8177, 1, Config2, 66.952143907547, ok
mip8177, 1, Config3, 129.088418960571, ok
mip6970, 1, ConfigDefault, 57.4147231578826, ok
mip6970, 1, Config1, 55.7366139888763, ok
mip6970, 1, Config2, 63.0826749801635, ok
mip6970, 1, Config3, 61.8999459743499, ok
mip4859, 1, ConfigDefault, 349.302736997604, ok
mip4859, 1, Config1, 168.199673891067, ok
mip4859, 1, Config2, 210.009452104568, ok
mip4859, 1, Config3, 197.338635921478, ok
mip3876, 1, ConfigDefault, 3251.91070795059, ok
mip3876, 1, Config1, 538.123152971267, ok
mip3876, 1, Config2, 877.029204845428, ok
mip3876, 1, Config3, 981.451961994171, ok
mip4514, 1, ConfigDefault, 1090.47106599807, ok
mip4514, 1, Config1, 429.318396091461, ok
mip4514, 1, Config2, 610.421006202697, ok
mip4514, 1, Config3, 923.160027980804, ok
mip6134, 1, ConfigDefault, 134.231891870498, ok
mip6134, 1, Config1, 20.119754076004, ok
