@RELATION FEATURE_COSTS_MIPVerifySDP_SCIPfeatureset


@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE StaticOn NUMERIC
@ATTRIBUTE StaticOff NUMERIC
@ATTRIBUTE Dynamic NUMERIC



@DATA
mip1122, 1, 1.2, 0, 12.24
mip1123, 1, 1.63, 0, 14.010000000000002
mip1124, 1, 1.29, 0, 26.39
mip1125, 1, 1.77, 0, 16.71
mip1126, 1, 1.51, 0, 24.669999999999998
mip1127, 1, 1.37, 0, 12.71
mip1128, 1, 1.4, 0, 21.35
mip1129, 1, 1.46, 0, 13.07
mip113, 1, 1.4, 0, 13.99
mip1130, 1, 1.3, 0, 10.809999999999999
mip1131, 1, 1.3, 0, 13.309999999999999
mip1132, 1, 1.38, 0, 41.65
mip1133, 1, 1.24, 0, 17.450000000000003
mip1134, 1, 1.4, 0, 20.3
mip1135, 1, 1.37, 0, 13.7
mip1136, 1, 1.37, 0, 12.510000000000002
mip1137, 1, 1.4, 0, 14.18
mip1138, 1, 1.52, 0, 21.580000000000002
mip1139, 1, 1.58, 0, 107.66
mip114, 1, 1.26, 0, 12.41
mip1140, 1, 1.36, 0, 13.040000000000001
mip1141, 1, 1.36, 0, 16.22
mip1142, 1, 1.35, 0, 29.74
mip1143, 1, 1.23, 0, 12.709999999999999
mip1144, 1, 1.29, 0, 14.149999999999999
mip1145, 1, 1.35, 0, 19.009999999999998
mip1146, 1, 1.5, 0, 19.82
mip1147, 1, 1.46, 0, 24.04
mip1148, 1, 1.5, 0, 20.75
mip1149, 1, 1.26, 0, 17.63
mip115, 1, 1.31, 0, 18.75
mip1150, 1, 1.26, 0, 24.61
mip1151, 1, 1.4, 0, 20.110000000000003
mip1152, 1, 1.46, 0, 14.7
mip1153, 1, 1.35, 0, 23.2
mip1154, 1, 1.29, 0, 12.73
mip1155, 1, 1.29, 0, 16.09
mip1156, 1, 1.48, 0, 35.970000000000006
mip1157, 1, 1.61, 0, 16.53
mip1158, 1, 1.41, 0, 17.04
mip1159, 1, 1.29, 0, 15.580000000000002
mip116, 1, 1.39, 0, 13.219999999999999
mip1160, 1, 1.4, 0, 14.36
mip1161, 1, 1.32, 0, 37.71
mip1162, 1, 1.37, 0, 9.3
mip1163, 1, 1.23, 0, 24.3
mip1164, 1, 1.45, 0, 12.49
mip1165, 1, 1.35, 0, 10.85
mip1166, 1, 1.46, 0, 16.57
mip1167, 1, 1.43, 0, 13.11
mip1168, 1, 1.35, 0, 23.52
mip1169, 1, 1.48, 0, 19.12
mip117, 1, 1.52, 0, 24.22
mip1170, 1, 1.32, 0, 30.6
mip1171, 1, 1.34, 0, 23.55
mip1172, 1, 1.45, 0, 34.129999999999995
mip1173, 1, 1.44, 0, 17.95
mip1174, 1, 1.45, 0, 8.71
mip1175, 1, 1.23, 0, 15.059999999999999
mip1176, 1, 1.38, 0, 14.740000000000002
mip1177, 1, 1.26, 0, 10.040000000000001
mip1178, 1, 1.31, 0, 19.76
mip1179, 1, 1.29, 0, 13.09
mip118, 1, 1.19, 0, 22.27
mip1180, 1, 1.57, 0, 17.83
mip1181, 1, 1.44, 0, 41.080000000000005
mip1182, 1, 1.35, 0, 12.22
mip1183, 1, 1.27, 0, 12.34
mip1184, 1, 1.38, 0, 16.16
mip1185, 1, 1.34, 0, 30.07
mip1186, 1, 1.36, 0, 17.02
mip1187, 1, 1.41, 0, 19.66
mip1188, 1, 1.46, 0, 14.619999999999997
mip1189, 1, 1.32, 0, 14.56
mip119, 1, 1.4, 0, 17.68
mip1190, 1, 1.49, 0, 13.6
mip1191, 1, 1.37, 0, 14.61
mip1192, 1, 1.33, 0, 12.34
mip1193, 1, 1.51, 0, 19.509999999999998
mip1194, 1, 1.4, 0, 17.900000000000002
mip1195, 1, 1.37, 0, 6.999999999999999
mip1196, 1, 1.3, 0, 23.4
mip1197, 1, 1.24, 0, 11.24
mip1198, 1, 1.21, 0, 17.86
mip1199, 1, 1.35, 0, 26.52
mip12, 1, 1.3, 0, 16.45
mip120, 1, 1.22, 0, 75.94
mip1200, 1, 1.29, 0, 15.66
mip1201, 1, 1.45, 0, 13.08
mip1202, 1, 1.41, 0, 20.08
mip1203, 1, 1.37, 0, 12.71
mip1204, 1, 1.28, 0, 16.75
mip1205, 1, 1.34, 0, 12.95
mip1206, 1, 1.42, 0, 16.659999999999997
mip1207, 1, 1.32, 0, 15.64
mip1208, 1, 1.46, 0, 14.059999999999999
mip1209, 1, 1.51, 0, 13.620000000000001
mip121, 1, 1.11, 0, 12.370000000000001
mip1210, 1, 1.5, 0, 16.13
mip1211, 1, 1.26, 0, 14.35
mip1212, 1, 1.33, 0, 17.340000000000003
mip1213, 1, 1.45, 0, 19.82
mip1214, 1, 1.42, 0, 38.41
mip1215, 1, 1.29, 0, 19.92
mip1216, 1, 1.37, 0, 12.899999999999999
mip1217, 1, 1.68, 0, 14.86
mip1218, 1, 1.47, 0, 15.709999999999999
mip1219, 1, 1.4, 0, 26.89
mip122, 1, 1.29, 0, 12.66
mip1220, 1, 1.38, 0, 16.66
mip1221, 1, 1.44, 0, 22.43
mip1222, 1, 1.33, 0, 16.64
mip1223, 1, 1.43, 0, 43.93
mip1224, 1, 1.39, 0, 12.18
mip1225, 1, 1.68, 0, 9.52
mip1226, 1, 1.35, 0, 49.76
mip1227, 1, 1.51, 0, 17.029999999999998
mip1228, 1, 1.47, 0, 19.240000000000002
mip1229, 1, 1.45, 0, 10.280000000000001
mip123, 1, 1.43, 0, 12.09
mip1230, 1, 1.59, 0, 23.64
mip1231, 1, 1.31, 0, 36.64
mip1232, 1, 1.28, 0, 12.67
mip1233, 1, 1.42, 0, 9.23
mip1234, 1, 1.32, 0, 23.66
mip1235, 1, 1.51, 0, 15.63
mip1236, 1, 1.33, 0, 29.97
mip1237, 1, 1.52, 0, 23.98
mip1238, 1, 1.3, 0, 18.21
mip1239, 1, 1.48, 0, 15.329999999999998
mip124, 1, 1.23, 0, 13.389999999999999
mip1240, 1, 1.38, 0, 15.620000000000001
mip1241, 1, 1.26, 0, 16.069999999999997
mip1242, 1, 1.45, 0, 17.55
mip1243, 1, 1.58, 0, 14.33
mip1244, 1, 1.39, 0, 64.41
mip1245, 1, 1.39, 0, 21.62
mip1246, 1, 1.27, 0, 13.58
mip1247, 1, 1.36, 0, 30.89
mip1248, 1, 1.27, 0, 14.67
mip1249, 1, 1.58, 0, 8.75
mip125, 1, 1.23, 0, 12.19
mip1250, 1, 1.64, 0, 22.63
mip1251, 1, 1.36, 0, 10.98
mip1252, 1, 1.42, 0, 12.68
mip1253, 1, 1.51, 0, 67.46
mip1254, 1, 1.37, 0, 20.369999999999997
mip1255, 1, 1.54, 0, 22.630000000000003
mip1256, 1, 1.46, 0, 14.61
mip1257, 1, 1.37, 0, 12.649999999999999
mip1258, 1, 1.39, 0, 14.82
mip1259, 1, 1.4, 0, 32.29
mip126, 1, 1.29, 0, 18.220000000000002
mip1260, 1, 1.43, 0, 49.82
mip1261, 1, 1.52, 0, 14.0
mip1262, 1, 1.3, 0, 16.689999999999998
mip1263, 1, 1.33, 0, 11.35
mip1264, 1, 1.28, 0, 23.84
mip1265, 1, 1.52, 0, 17.54
mip1266, 1, 1.5, 0, 33.64
mip1267, 1, 1.35, 0, 25.33
mip1268, 1, 1.38, 0, 34.94
mip1269, 1, 1.45, 0, 14.09
mip127, 1, 1.29, 0, 14.93
mip1270, 1, 1.43, 0, 17.09
mip1271, 1, 1.44, 0, 15.83
mip1272, 1, 1.34, 0, 13.85
mip1273, 1, 1.46, 0, 21.509999999999998
mip1274, 1, 1.22, 0, 12.78
mip1275, 1, 1.71, 0, 20.779999999999998
mip1276, 1, 1.41, 0, 32.080000000000005
mip1277, 1, 1.31, 0, 20.05
mip1278, 1, 1.39, 0, 28.77
mip1279, 1, 1.44, 0, 29.599999999999998
mip128, 1, 1.28, 0, 14.56
mip1280, 1, 1.44, 0, 24.11
mip1281, 1, 1.44, 0, 21.84
mip1282, 1, 1.49, 0, 26.64
mip1283, 1, 1.47, 0, 14.909999999999998
mip1284, 1, 1.59, 0, 10.98
mip1285, 1, 1.46, 0, 20.71
mip1286, 1, 1.38, 0, 32.51
mip1287, 1, 1.37, 0, 15.509999999999998
mip1288, 1, 1.37, 0, 16.06
mip1289, 1, 1.28, 0, 24.98
mip129, 1, 1.14, 0, 12.729999999999999
mip1290, 1, 1.31, 0, 18.25
mip1291, 1, 1.39, 0, 10.719999999999999
mip1292, 1, 1.43, 0, 18.39
mip1293, 1, 1.32, 0, 18.82
mip1294, 1, 1.5, 0, 14.57
mip1295, 1, 1.25, 0, 15.82
mip1296, 1, 1.41, 0, 15.54
mip1297, 1, 1.59, 0, 36.129999999999995
mip1298, 1, 1.28, 0, 25.98
mip1299, 1, 1.66, 0, 21.54
mip13, 1, 1.15, 0, 16.770000000000003
mip130, 1, 1.19, 0, 15.03
mip1300, 1, 1.54, 0, 9.73
mip1301, 1, 1.56, 0, 29.860000000000003
mip1302, 1, 1.4, 0, 15.76
mip1303, 1, 1.6, 0, 12.38
mip1304, 1, 1.22, 0, 16.810000000000002
mip1305, 1, 1.4, 0, 34.440000000000005
mip1306, 1, 1.42, 0, 20.049999999999997
mip1307, 1, 1.47, 0, 17.28
mip1308, 1, 1.41, 0, 11.91
mip1309, 1, 1.41, 0, 16.37
mip131, 1, 1.11, 0, 12.16
mip1310, 1, 1.43, 0, 147.51999999999998
mip1311, 1, 1.57, 0, 10.69
mip1312, 1, 1.5, 0, 12.83
mip1313, 1, 1.44, 0, 35.63
mip1314, 1, 1.79, 0, 26.52
mip1315, 1, 1.34, 0, 27.3
mip1316, 1, 1.39, 0, 10.62
mip1317, 1, 1.41, 0, 14.52
mip1318, 1, 1.54, 0, 28.810000000000002
mip1319, 1, 1.46, 0, 16.05
mip132, 1, 1.09, 0, 13.3
mip1320, 1, 1.41, 0, 9.91
mip1321, 1, 1.54, 0, 22.61
mip1322, 1, 1.49, 0, 24.360000000000003
mip1323, 1, 1.5, 0, 26.51
mip1324, 1, 1.28, 0, 12.14
mip1325, 1, 1.35, 0, 27.38
mip1326, 1, 1.38, 0, 228.74
mip1327, 1, 1.52, 0, 17.56
mip1328, 1, 1.67, 0, 24.5
mip1329, 1, 2.07, 0, 10.4
mip133, 1, 1.08, 0, 17.450000000000003
mip1330, 1, 1.81, 0, 17.39
mip1331, 1, 1.27, 0, 10.0
mip1332, 1, 1.34, 0, 12.65
mip1333, 1, 1.34, 0, 17.76
mip1334, 1, 1.27, 0, 16.38
mip1335, 1, 1.33, 0, 34.99
mip1336, 1, 1.4, 0, 16.540000000000003
mip1337, 1, 1.34, 0, 27.03
mip1338, 1, 1.24, 0, 7.65
mip1339, 1, 1.46, 0, 27.689999999999998
mip134, 1, 1.18, 0, 29.14
mip1340, 1, 1.34, 0, 25.38
mip1341, 1, 1.44, 0, 14.97
mip1342, 1, 1.28, 0, 14.530000000000001
mip1343, 1, 1.42, 0, 28.25
mip1344, 1, 1.56, 0, 12.67
mip1345, 1, 1.36, 0, 13.280000000000001
mip1346, 1, 1.32, 0, 16.509999999999998
mip1347, 1, 1.49, 0, 17.180000000000003
mip1348, 1, 1.44, 0, 26.16
mip1349, 1, 1.16, 0, 11.0
mip135, 1, 1.16, 0, 16.51
mip1350, 1, 1.45, 0, 16.11
mip1351, 1, 1.41, 0, 31.540000000000003
mip1352, 1, 1.26, 0, 13.1
mip1353, 1, 1.43, 0, 11.6
mip1354, 1, 1.49, 0, 13.58
mip1355, 1, 1.44, 0, 30.639999999999997
mip1356, 1, 1.6, 0, 17.459999999999997
mip1357, 1, 1.36, 0, 10.82
mip1358, 1, 1.43, 0, 35.3
mip1359, 1, 1.42, 0, 15.15
mip136, 1, 1.21, 0, 12.23
mip1360, 1, 1.55, 0, 17.64
mip1361, 1, 1.5, 0, 23.32
mip1362, 1, 1.51, 0, 17.959999999999997
mip1363, 1, 1.3, 0, 13.04
mip1364, 1, 1.65, 0, 17.69
mip1365, 1, 1.6, 0, 20.91
mip1366, 1, 1.22, 0, 14.99
mip1367, 1, 1.6, 0, 16.13
mip1368, 1, 1.41, 0, 28.85
mip1369, 1, 1.7, 0, 11.270000000000001
mip137, 1, 1.1, 0, 10.81
mip1370, 1, 1.48, 0, 19.599999999999998
mip1371, 1, 1.34, 0, 17.330000000000002
mip1372, 1, 1.32, 0, 15.68
mip1373, 1, 1.34, 0, 31.150000000000002
mip1374, 1, 1.5, 0, 19.54
mip1375, 1, 1.47, 0, 19.19
mip1376, 1, 1.29, 0, 15.23
mip1377, 1, 1.4, 0, 16.25
mip1378, 1, 1.39, 0, 15.66
mip1379, 1, 1.48, 0, 13.389999999999999
mip138, 1, 1.25, 0, 15.54
mip1380, 1, 1.24, 0, 26.28
mip1381, 1, 1.45, 0, 16.19
mip1382, 1, 1.24, 0, 18.66
mip1383, 1, 1.27, 0, 27.7
mip1384, 1, 1.48, 0, 13.639999999999999
mip1385, 1, 1.69, 0, 22.48
mip1386, 1, 1.39, 0, 18.03
mip1387, 1, 1.3, 0, 20.38
mip1388, 1, 1.43, 0, 16.35
mip1389, 1, 1.24, 0, 18.84
mip139, 1, 1.19, 0, 15.770000000000001
mip1390, 1, 1.34, 0, 16.96
mip1391, 1, 1.2, 0, 12.98
mip1392, 1, 1.39, 0, 10.08
mip1393, 1, 1.65, 0, 14.700000000000001
mip1394, 1, 1.69, 0, 12.16
mip1395, 1, 1.5, 0, 18.24
mip1396, 1, 1.32, 0, 16.19
mip1397, 1, 1.33, 0, 11.68
mip1398, 1, 1.41, 0, 12.66
mip1399, 1, 1.37, 0, 15.079999999999998
mip14, 1, 1.11, 0, 12.97
mip140, 1, 1.12, 0, 19.419999999999998
mip1400, 1, 1.41, 0, 19.669999999999998
mip1401, 1, 1.25, 0, 21.99
mip1402, 1, 1.48, 0, 53.27
mip1403, 1, 1.36, 0, 10.51
mip1404, 1, 1.45, 0, 18.67
mip1405, 1, 1.29, 0, 12.329999999999998
mip1406, 1, 1.85, 0, 23.32
mip1407, 1, 1.53, 0, 15.340000000000002
mip1408, 1, 1.44, 0, 17.06
mip1409, 1, 1.56, 0, 17.52
mip141, 1, 1.43, 0, 28.64
mip1410, 1, 1.64, 0, 39.28
mip1411, 1, 1.92, 0, 18.189999999999998
mip1412, 1, 1.55, 0, 22.27
mip1413, 1, 1.49, 0, 15.01
mip1414, 1, 1.35, 0, 17.04
mip1415, 1, 1.41, 0, 9.85
mip1416, 1, 1.41, 0, 16.96
mip1417, 1, 1.28, 0, 15.13
mip1418, 1, 1.37, 0, 19.5
mip1419, 1, 1.43, 0, 25.4
mip142, 1, 1.31, 0, 14.19
mip1420, 1, 1.25, 0, 11.9
mip1421, 1, 1.39, 0, 20.439999999999998
mip1422, 1, 1.44, 0, 19.459999999999997
mip1423, 1, 1.3, 0, 24.59
mip1424, 1, 1.32, 0, 15.5
mip1425, 1, 1.37, 0, 17.029999999999998
mip1426, 1, 1.31, 0, 18.810000000000002
mip1427, 1, 1.36, 0, 36.79
mip1428, 1, 1.47, 0, 38.71
mip1429, 1, 1.36, 0, 14.450000000000001
mip143, 1, 1.28, 0, 14.690000000000001
mip1430, 1, 1.42, 0, 9.73
mip1431, 1, 1.44, 0, 15.9
mip1432, 1, 1.34, 0, 12.03
mip1433, 1, 1.24, 0, 10.9
mip1434, 1, 1.47, 0, 14.069999999999999
mip1435, 1, 1.36, 0, 14.16
mip1436, 1, 1.35, 0, 20.33
mip1437, 1, 1.33, 0, 12.16
mip1438, 1, 1.46, 0, 27.43
mip1439, 1, 1.33, 0, 34.160000000000004
mip144, 1, 1.2, 0, 13.96
mip1440, 1, 1.49, 0, 18.84
mip1441, 1, 1.61, 0, 22.79
mip1442, 1, 1.39, 0, 16.13
mip1443, 1, 1.32, 0, 13.23
mip1444, 1, 1.36, 0, 70.96
mip1445, 1, 1.32, 0, 7.43
mip1446, 1, 1.31, 0, 17.73
mip1447, 1, 1.21, 0, 14.629999999999999
