@RELATION ALGORITHM_RUNS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mip1025, 1, Config2, 9600.0, timeout
mip1025, 1, Config3, 9600.0, timeout
mip1026, 1, ConfigDefault, 86.3882892131805, ok
mip1026, 1, Config1, 72.3107559680938, ok
mip1026, 1, Config2, 82.479854106903, ok
mip1026, 1, Config3, 58.6358478069305, ok
mip1027, 1, ConfigDefault, 9600.0, timeout
mip1027, 1, Config1, 9600.0, timeout
mip1027, 1, Config2, 9600.0, timeout
mip1027, 1, Config3, 9600.0, timeout
mip1028, 1, ConfigDefault, 150.310893058776, ok
mip1028, 1, Config1, 540.543456077575, ok
mip1028, 1, Config2, 124.305464029312, ok
mip1028, 1, Config3, 86.8344709873199, ok
mip1029, 1, ConfigDefault, 359.238960981369, ok
mip1029, 1, Config1, 338.074061155319, ok
mip1029, 1, Config2, 135.601101875305, ok
mip1029, 1, Config3, 144.566646814346, ok
mip103, 1, ConfigDefault, 98.4018499851226, ok
mip103, 1, Config1, 148.331789970397, ok
mip103, 1, Config2, 82.2296659946441, ok
mip103, 1, Config3, 110.535001039505, ok
mip1030, 1, ConfigDefault, 49.0780370235443, ok
mip1030, 1, Config1, 98.1753408908844, ok
mip1030, 1, Config2, 39.0256700515747, ok
mip1030, 1, Config3, 93.5156450271606, ok
mip1031, 1, ConfigDefault, 229.03534412384, ok
mip1031, 1, Config1, 130.62487411499, ok
mip1031, 1, Config2, 85.6456251144409, ok
mip1031, 1, Config3, 158.410503864288, ok
mip1032, 1, ConfigDefault, 62.6829800605773, ok
mip1032, 1, Config1, 128.374392986297, ok
mip1032, 1, Config2, 46.7485041618347, ok
mip1032, 1, Config3, 22.3991451263427, ok
mip1033, 1, ConfigDefault, 809.615651845932, ok
mip1033, 1, Config1, 1510.56775903701, ok
mip1033, 1, Config2, 2281.13013291358, ok
mip1033, 1, Config3, 2575.0338461399, ok
mip1034, 1, ConfigDefault, 2976.92162895202, ok
mip1034, 1, Config1, 1140.85249996185, ok
mip1034, 1, Config2, 119.975617885589, ok
mip1034, 1, Config3, 144.218662977218, ok
mip1035, 1, ConfigDefault, 100.00894999504, ok
mip1035, 1, Config1, 86.4545180797576, ok
mip1035, 1, Config2, 73.1507239341735, ok
mip1035, 1, Config3, 75.722177028656, ok
mip1036, 1, ConfigDefault, 4375.10008502006, ok
mip1036, 1, Config1, 149.745657920837, ok
mip1036, 1, Config2, 109.712433099746, ok
mip1036, 1, Config3, 127.409722089767, ok
mip1037, 1, ConfigDefault, 77.707335948944, ok
mip1037, 1, Config1, 59.756668806076, ok
mip1037, 1, Config2, 30.2318570613861, ok
mip1037, 1, Config3, 17.7048850059509, ok
mip1038, 1, ConfigDefault, 193.026839017868, ok
mip1038, 1, Config1, 994.500196933746, ok
mip1038, 1, Config2, 313.129796028137, ok
mip1038, 1, Config3, 839.692005872726, ok
mip1039, 1, ConfigDefault, 8690.36674714088, ok
mip1039, 1, Config1, 283.380184888839, ok
mip1039, 1, Config2, 472.328027009964, ok
mip1039, 1, Config3, 460.677067995071, ok
mip104, 1, ConfigDefault, 78.6158270835876, ok
mip104, 1, Config1, 618.320192098617, ok
mip104, 1, Config2, 89.1588478088378, ok
mip104, 1, Config3, 62.6224579811096, ok
mip1040, 1, ConfigDefault, 12.5813021659851, ok
mip1040, 1, Config1, 39.9104590415954, ok
mip1040, 1, Config2, 2.96335291862487, ok
mip1040, 1, Config3, 2.48674321174621, ok
mip1041, 1, ConfigDefault, 9600.0, timeout
mip1041, 1, Config1, 9600.0, timeout
mip1041, 1, Config2, 4581.69280004501, ok
mip1041, 1, Config3, 2992.60183691978, ok
mip1042, 1, ConfigDefault, 107.355046033859, ok
mip1042, 1, Config1, 174.617670059204, ok
mip1042, 1, Config2, 111.60729598999, ok
mip1042, 1, Config3, 51.1424279212951, ok
mip1043, 1, ConfigDefault, 86.1802611351013, ok
mip1043, 1, Config1, 642.599652051925, ok
mip1043, 1, Config2, 53.3502080440521, ok
mip1043, 1, Config3, 58.0818109512329, ok
mip1044, 1, ConfigDefault, 2788.73524618148, ok
mip1044, 1, Config1, 837.662025213241, ok
mip1044, 1, Config2, 159.284811973571, ok
mip1044, 1, Config3, 172.91194987297, ok
mip1045, 1, ConfigDefault, 9600.0, timeout
mip1045, 1, Config1, 9600.0, timeout
mip1045, 1, Config2, 9600.0, timeout
mip1045, 1, Config3, 9600.0, timeout
mip1046, 1, ConfigDefault, 9600.0, timeout
mip1046, 1, Config1, 9600.0, timeout
mip1046, 1, Config2, 9600.0, timeout
mip1046, 1, Config3, 9600.0, timeout
mip1047, 1, ConfigDefault, 5550.89933896064, ok
mip1047, 1, Config1, 611.028692007064, ok
mip1047, 1, Config2, 2062.86263298988, ok
mip1047, 1, Config3, 2384.45827913284, ok
mip1048, 1, ConfigDefault, 54.1079621315002, ok
mip1048, 1, Config1, 440.646861076355, ok
mip1048, 1, Config2, 28.9956970214843, ok
mip1048, 1, Config3, 56.1050231456756, ok
mip1049, 1, ConfigDefault, 9600.0, timeout
mip1049, 1, Config1, 9600.0, timeout
mip1049, 1, Config2, 9600.0, timeout
mip1049, 1, Config3, 7243.44169306755, ok
mip105, 1, ConfigDefault, 9600.0, timeout
mip105, 1, Config1, 9600.0, timeout
mip105, 1, Config2, 9600.0, timeout
mip105, 1, Config3, 9600.0, timeout
mip1050, 1, ConfigDefault, 63.4465038776397, ok
mip1050, 1, Config1, 63.1666650772094, ok
mip1050, 1, Config2, 35.99751496315, ok
mip1050, 1, Config3, 16.5407409667968, ok
mip1051, 1, ConfigDefault, 10.9182097911834, ok
mip1051, 1, Config1, 829.304197072982, ok
mip1051, 1, Config2, 3.18193101882934, ok
mip1051, 1, Config3, 3.41540789604187, ok
mip1052, 1, ConfigDefault, 2593.78998589515, ok
mip1052, 1, Config1, 566.352821111679, ok
mip1052, 1, Config2, 126.639019966125, ok
mip1052, 1, Config3, 183.262615919113, ok
mip1053, 1, ConfigDefault, 9086.6598598957, ok
mip1053, 1, Config1, 543.519847154617, ok
mip1053, 1, Config2, 825.272716045379, ok
mip1053, 1, Config3, 734.300081014633, ok
mip1054, 1, ConfigDefault, 81.9984221458435, ok
mip1054, 1, Config1, 258.493772029876, ok
mip1054, 1, Config2, 52.2398450374603, ok
mip1054, 1, Config3, 46.9188101291656, ok
mip1055, 1, ConfigDefault, 3271.9795320034, ok
mip1055, 1, Config1, 552.679585933685, ok
mip1055, 1, Config2, 338.299301862716, ok
mip1055, 1, Config3, 363.425577878952, ok
mip1056, 1, ConfigDefault, 9600.0, timeout
mip1056, 1, Config1, 9600.0, timeout
mip1056, 1, Config2, 9600.0, timeout
mip1056, 1, Config3, 9600.0, timeout
mip1057, 1, ConfigDefault, 305.588091135025, ok
mip1057, 1, Config1, 1018.56893706321, ok
