@RELATION FEATURE_RUNSTATUS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}


@DATA
mip1252, 1, ok
mip1253, 1, ok
mip1254, 1, ok
mip1255, 1, ok
mip1256, 1, ok
mip1257, 1, ok
mip1258, 1, ok
mip1259, 1, ok
mip126, 1, ok
mip1260, 1, ok
mip1261, 1, ok
mip1262, 1, ok
mip1263, 1, ok
mip1264, 1, ok
mip1265, 1, ok
mip1266, 1, ok
mip1267, 1, ok
mip1268, 1, ok
mip1269, 1, ok
mip127, 1, ok
mip1270, 1, ok
mip1271, 1, ok
mip1272, 1, ok
mip1273, 1, ok
mip1274, 1, ok
mip1275, 1, ok
mip1276, 1, ok
mip1277, 1, ok
mip1278, 1, ok
mip1279, 1, ok
mip128, 1, ok
mip1280, 1, ok
mip1281, 1, ok
mip1282, 1, ok
mip1283, 1, ok
mip1284, 1, ok
mip1285, 1, ok
mip1286, 1, ok
mip1287, 1, ok
mip1288, 1, ok
mip1289, 1, ok
mip129, 1, ok
mip1290, 1, ok
mip1291, 1, ok
mip1292, 1, ok
mip1293, 1, ok
mip1294, 1, ok
mip1295, 1, ok
mip1296, 1, ok
mip1297, 1, ok
mip1298, 1, ok
mip1299, 1, ok
mip13, 1, ok
mip130, 1, ok
mip1300, 1, ok
mip1301, 1, ok
mip1302, 1, ok
mip1303, 1, ok
mip1304, 1, ok
mip1305, 1, ok
mip1306, 1, ok
mip1307, 1, ok
mip1308, 1, ok
mip1309, 1, ok
mip131, 1, ok
mip1310, 1, ok
mip1311, 1, ok
mip1312, 1, ok
mip1313, 1, ok
mip1314, 1, ok
mip1315, 1, ok
mip1316, 1, ok
mip1317, 1, ok
mip1318, 1, ok
mip1319, 1, ok
mip132, 1, ok
mip1320, 1, ok
mip1321, 1, ok
mip1322, 1, ok
mip1323, 1, ok
mip1324, 1, ok
mip1325, 1, ok
mip1326, 1, ok
mip1327, 1, ok
mip1328, 1, ok
mip1329, 1, ok
mip133, 1, ok
mip1330, 1, ok
mip1331, 1, ok
mip1332, 1, ok
mip1333, 1, ok
mip1334, 1, ok
mip1335, 1, ok
mip1336, 1, ok
mip1337, 1, ok
mip1338, 1, ok
mip1339, 1, ok
mip134, 1, ok
mip1340, 1, ok
mip1341, 1, ok
mip1342, 1, ok
mip1343, 1, ok
mip1344, 1, ok
mip1345, 1, ok
mip1346, 1, ok
mip1347, 1, ok
mip1348, 1, ok
mip1349, 1, ok
mip135, 1, ok
mip1350, 1, ok
mip1351, 1, ok
mip1352, 1, ok
mip1353, 1, ok
mip1354, 1, ok
mip1355, 1, ok
mip1356, 1, ok
mip1357, 1, ok
mip1358, 1, ok
mip1359, 1, ok
mip136, 1, ok
mip1360, 1, ok
mip1361, 1, ok
mip1362, 1, ok
mip1363, 1, ok
mip1364, 1, ok
mip1365, 1, ok
mip1366, 1, ok
mip1367, 1, ok
mip1368, 1, ok
mip1369, 1, ok
mip137, 1, ok
mip1370, 1, ok
mip1371, 1, ok
mip1372, 1, ok
mip1373, 1, ok
mip1374, 1, ok
mip1375, 1, ok
mip1376, 1, ok
mip1377, 1, ok
mip1378, 1, ok
mip1379, 1, ok
mip138, 1, ok
mip1380, 1, ok
mip1381, 1, ok
mip1382, 1, ok
mip1383, 1, ok
mip1384, 1, ok
mip1385, 1, ok
mip1386, 1, ok
mip1387, 1, ok
mip1388, 1, ok
mip1389, 1, ok
mip139, 1, ok
mip1390, 1, ok
mip1391, 1, ok
mip1392, 1, ok
mip1393, 1, ok
mip1394, 1, ok
mip1395, 1, ok
mip1396, 1, ok
mip1397, 1, ok
mip1398, 1, ok
mip1399, 1, ok
mip14, 1, ok
mip140, 1, ok
mip1400, 1, ok
mip1401, 1, ok
mip1402, 1, ok
mip1403, 1, ok
mip1404, 1, ok
mip1405, 1, ok
mip1406, 1, ok
mip1407, 1, ok
mip1408, 1, ok
mip1409, 1, ok
mip141, 1, ok
mip1410, 1, ok
mip1411, 1, ok
mip1412, 1, ok
mip1413, 1, ok
mip1414, 1, ok
mip1415, 1, ok
mip1416, 1, ok
mip1417, 1, ok
mip1418, 1, ok
mip1419, 1, ok
mip142, 1, ok
mip1420, 1, ok
mip1421, 1, ok
mip1422, 1, ok
mip1423, 1, ok
mip1424, 1, ok
mip1425, 1, ok
mip1426, 1, ok
mip1427, 1, ok
mip1428, 1, ok
mip1429, 1, ok
mip143, 1, ok
mip1430, 1, ok
mip1431, 1, ok
mip1432, 1, ok
mip1433, 1, ok
mip1434, 1, ok
mip1435, 1, ok
mip1436, 1, ok
mip1437, 1, ok
mip1438, 1, ok
mip1439, 1, ok
mip144, 1, ok
mip1440, 1, ok
mip1441, 1, ok
mip1442, 1, ok
mip1443, 1, ok
mip1444, 1, ok
mip1445, 1, ok
mip1446, 1, ok
mip1447, 1, ok
mip1448, 1, ok
mip1449, 1, ok
mip145, 1, ok
mip1450, 1, ok
mip1451, 1, ok
mip1452, 1, ok
mip1453, 1, ok
mip1454, 1, ok
mip1455, 1, ok
mip1456, 1, ok
mip1457, 1, ok
mip1458, 1, ok
mip1459, 1, ok
mip146, 1, ok
mip1460, 1, ok
mip1461, 1, ok
mip1462, 1, ok
mip1463, 1, ok
mip1464, 1, ok
mip1465, 1, ok
mip1466, 1, ok
mip1467, 1, ok
mip1468, 1, ok
mip1469, 1, ok
mip147, 1, ok
mip1470, 1, ok
mip1471, 1, ok
mip1472, 1, ok
mip1473, 1, ok
mip1474, 1, ok
mip1475, 1, ok
mip1476, 1, ok
mip1477, 1, ok
mip1478, 1, ok
mip1479, 1, ok
mip148, 1, ok
mip1480, 1, ok
mip1481, 1, ok
mip1482, 1, ok
mip1483, 1, ok
mip1484, 1, ok
mip1485, 1, ok
mip1486, 1, ok
mip1487, 1, ok
mip1488, 1, ok
mip1489, 1, ok
mip149, 1, ok
mip1490, 1, ok
mip1491, 1, ok
mip1492, 1, ok
mip1493, 1, ok
mip1494, 1, ok
mip1495, 1, ok
mip1496, 1, ok
mip1497, 1, ok
mip1498, 1, ok
mip1499, 1, ok
mip15, 1, ok
mip150, 1, ok
mip1500, 1, ok
mip1501, 1, ok
mip1502, 1, ok
mip1503, 1, ok
mip1504, 1, ok
mip1505, 1, ok
mip1506, 1, ok
mip1507, 1, ok
mip1508, 1, ok
mip1509, 1, ok
mip151, 1, ok
mip1510, 1, ok
mip1511, 1, ok
mip1512, 1, ok
mip1513, 1, ok
mip1514, 1, ok
mip1515, 1, ok
mip1516, 1, ok
mip1517, 1, ok
mip1518, 1, ok
mip1519, 1, ok
mip152, 1, ok
mip1520, 1, ok
mip1521, 1, ok
mip1522, 1, ok
mip1523, 1, ok
mip1524, 1, ok
mip1525, 1, ok
mip1526, 1, ok
mip1527, 1, ok
mip1528, 1, ok
mip1529, 1, ok
mip153, 1, ok
mip1530, 1, ok
mip1531, 1, ok
mip1532, 1, ok
mip1533, 1, ok
mip1534, 1, ok
mip1535, 1, ok
mip1536, 1, ok
mip1537, 1, ok
mip1538, 1, ok
mip1539, 1, ok
mip154, 1, ok
mip1540, 1, ok
mip1541, 1, ok
mip1542, 1, ok
mip1543, 1, ok
mip1544, 1, ok
mip1545, 1, ok
mip1546, 1, ok
mip1547, 1, ok
mip1548, 1, ok
mip1549, 1, ok
mip155, 1, ok
mip1550, 1, ok
mip1551, 1, ok
mip1552, 1, ok
mip1553, 1, ok
mip1554, 1, ok
mip1555, 1, ok
mip1556, 1, ok
mip1557, 1, ok
mip1558, 1, ok
mip1559, 1, ok
mip156, 1, ok
mip1560, 1, ok
mip1561, 1, ok
mip1562, 1, ok
mip1563, 1, ok
mip1564, 1, ok
mip1565, 1, ok
mip1566, 1, ok
mip1567, 1, ok
mip1568, 1, ok
mip1569, 1, ok
mip157, 1, ok
mip1570, 1, ok
mip1571, 1, ok
mip1572, 1, ok
mip1573, 1, ok
mip1574, 1, ok
mip1575, 1, ok
mip1576, 1, ok
mip1577, 1, ok
mip1578, 1, ok
mip1579, 1, ok
mip158, 1, ok
mip1580, 1, ok
mip1581, 1, ok
mip1582, 1, ok
mip1583, 1, ok
mip1584, 1, ok
mip1585, 1, ok
mip1586, 1, ok
mip1587, 1, ok
mip1588, 1, ok
mip1589, 1, ok
mip159, 1, ok
mip1590, 1, ok
mip1591, 1, ok
mip1592, 1, ok
mip1593, 1, ok
mip1594, 1, ok
mip1595, 1, ok
mip1596, 1, ok
mip1597, 1, ok
mip1598, 1, ok
mip1599, 1, ok
mip16, 1, ok
mip160, 1, ok
mip1600, 1, ok
mip1601, 1, ok
mip1602, 1, ok
mip1603, 1, ok
