@RELATION FEATURE_VALUES_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SolveTime_default NUMERIC
@ATTRIBUTE SolveTime_conf1 NUMERIC
@ATTRIBUTE SolveTime_conf2 NUMERIC
@ATTRIBUTE SolveTime_conf3 NUMERIC


@DATA
mip1, 1, 104.393416881561, 152.683290958404, 44.0684928894043, 78.7319960594177
mip10, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip100, 1, 89.8659279346466, 779.582902908325, 80.5807809829711, 215.39951300621
mip1000, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip10000, 1, 22.1125609874725, 378.362607002258, 78.9199910163879, 18.8384459018707
mip1001, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1002, 1, 97.1017019748687, 589.421010017395, 52.0837748050689, 54.5605380535125
mip1003, 1, 963.175574064254, 125.566325902938, 75.3951029777526, 101.884566783905
mip1004, 1, 9600.0, 2594.95872282981, 3218.8935739994, 3365.11393904686
mip1005, 1, 7558.06992006301, 473.378285884857, 718.269586086273, 680.631870031356
mip1006, 1, 9600.0, 686.945587158203, 911.111675977706, 3194.42175793647
mip1007, 1, 164.999543905258, 305.867154121398, 67.7905218601226, 77.6822528839111
mip1008, 1, 9600.0, 9600.0, 4961.74763488769, 5517.26824498176
mip1009, 1, 71.7898330688476, 82.0173659324646, 71.7233278751373, 62.4112071990966
mip101, 1, 9600.0, 9600.0, 9600.0, 7128.35345721244
mip1010, 1, 91.044410943985, 1025.14118909835, 23.0151998996734, 49.593502998352
mip1011, 1, 73.0174629688263, 111.954962015151, 53.4462161064148, 66.5105748176574
mip1012, 1, 114.245176076889, 3692.56728982925, 121.045212984085, 55.5502598285675
mip1013, 1, 17.0557270050048, 54.0609149932861, 5.72927713394165, 5.12095785140991
mip1014, 1, 4000.23465013504, 2107.48069787025, 669.939954996109, 1623.19831109046
mip1015, 1, 9.31576991081237, 555.680574893951, 1.63587498664855, 1.37371921539306
mip1016, 1, 9600.0, 9600.0, 2090.13960313797, 4829.6794052124
mip1017, 1, 3326.06838798522, 489.390974044799, 466.884310007095, 490.446947097778
mip1018, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1019, 1, 96.8561398983001, 236.703448057174, 60.3204169273376, 63.7135980129241
mip102, 1, 92.2950229644775, 267.943185091018, 59.7834320068359, 56.9387710094451
mip1020, 1, 5227.53939604759, 2103.77940201759, 1228.17209601402, 1154.23475289344
mip1021, 1, 3143.46893286705, 237.739877939224, 351.213989019393, 299.625809907913
mip1022, 1, 3003.22900891304, 181.373847961425, 348.429504156112, 254.938740968704
mip1023, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1024, 1, 94.8252990245819, 183.099163055419, 110.374615907669, 53.8132979869842
mip1025, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1026, 1, 86.3882892131805, 72.3107559680938, 82.479854106903, 58.6358478069305
mip1027, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1028, 1, 150.310893058776, 540.543456077575, 124.305464029312, 86.8344709873199
mip1029, 1, 359.238960981369, 338.074061155319, 135.601101875305, 144.566646814346
mip103, 1, 98.4018499851226, 148.331789970397, 82.2296659946441, 110.535001039505
mip1030, 1, 49.0780370235443, 98.1753408908844, 39.0256700515747, 93.5156450271606
mip1031, 1, 229.03534412384, 130.62487411499, 85.6456251144409, 158.410503864288
mip1032, 1, 62.6829800605773, 128.374392986297, 46.7485041618347, 22.3991451263427
mip1033, 1, 809.615651845932, 1510.56775903701, 2281.13013291358, 2575.0338461399
mip1034, 1, 2976.92162895202, 1140.85249996185, 119.975617885589, 144.218662977218
mip1035, 1, 100.00894999504, 86.4545180797576, 73.1507239341735, 75.722177028656
mip1036, 1, 4375.10008502006, 149.745657920837, 109.712433099746, 127.409722089767
mip1037, 1, 77.707335948944, 59.756668806076, 30.2318570613861, 17.7048850059509
mip1038, 1, 193.026839017868, 994.500196933746, 313.129796028137, 839.692005872726
mip1039, 1, 8690.36674714088, 283.380184888839, 472.328027009964, 460.677067995071
mip104, 1, 78.6158270835876, 618.320192098617, 89.1588478088378, 62.6224579811096
mip1040, 1, 12.5813021659851, 39.9104590415954, 2.96335291862487, 2.48674321174621
mip1041, 1, 9600.0, 9600.0, 4581.69280004501, 2992.60183691978
mip1042, 1, 107.355046033859, 174.617670059204, 111.60729598999, 51.1424279212951
mip1043, 1, 86.1802611351013, 642.599652051925, 53.3502080440521, 58.0818109512329
mip1044, 1, 2788.73524618148, 837.662025213241, 159.284811973571, 172.91194987297
mip1045, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1046, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1047, 1, 5550.89933896064, 611.028692007064, 2062.86263298988, 2384.45827913284
mip1048, 1, 54.1079621315002, 440.646861076355, 28.9956970214843, 56.1050231456756
mip1049, 1, 9600.0, 9600.0, 9600.0, 7243.44169306755
mip105, 1, 9600.0, 9600.0, 9600.0, 9600.0
mip1050, 1, 63.4465038776397, 63.1666650772094, 35.99751496315, 16.5407409667968
mip1051, 1, 10.9182097911834, 829.304197072982, 3.18193101882934, 3.41540789604187
mip1052, 1, 2593.78998589515, 566.352821111679, 126.639019966125, 183.262615919113
mip1053, 1, 9086.6598598957, 543.519847154617, 825.272716045379, 734.300081014633
mip1054, 1, 81.9984221458435, 258.493772029876, 52.2398450374603, 46.9188101291656
mip1055, 1, 3271.9795320034, 552.679585933685, 338.299301862716, 363.425577878952
